,inf_mode,cell_type,rnn_direction,batch_size,sentence_length,num_unit,num_layer,epoch,accuracy,precision,recall,f_measure
166,next,gru,uni,256,,256,3,90,0.5650557620817844,0.572212431731435,0.5650557620817844,0.5664062116171907
167,next,gru,uni,256,,256,5,60,0.07142857142857142,0.06818651227269189,0.07142857142857142,0.06911731528330625
168,next,gru,bi,256,,256,2,30,0.5246946362187997,0.5311215299792673,0.5246946362187997,0.5259348580224356
169,next,lstm,uni,256,,128,3,20,0.47716409984067976,0.48117469572028077,0.47716409984067976,0.4770832454171769
170,next,gru,uni,256,,256,3,60,0.49057355284121085,0.49635563182500825,0.49057355284121085,0.49172704376331755
171,next,lstm,uni,256,,256,3,30,0.5674455655868296,0.5734963175693925,0.5674455655868296,0.5684589390869093
172,next,gru,bi,256,,256,3,25,0.0969198088157196,0.09072773237927623,0.0969198088157196,0.09095416258298994
173,next,lstm,uni,256,,256,3,40,0.5651885289431758,0.5716890525009456,0.5651885289431758,0.5667449351425629
174,self,lstm,uni,256,,256,3,30,0.29938927243759955,0.29874318222048835,0.29938927243759955,0.29751506079639506
175,self,lstm,uni,256,,128,3,20,0.2809346787041954,0.279703707073535,0.2809346787041954,0.2779705613874522
176,self,lstm,uni,256,,128,3,10,0.2096388741370154,0.20407526323785422,0.2096388741370154,0.20493830415241687
177,next,gru,uni,256,,512,3,40,0.07727031332979288,0.07407814162936387,0.07727031332979288,0.0743419734103736
178,next,gru,bi,256,,128,3,20,0.5189856611789697,0.525250541100887,0.5189856611789697,0.5200476679096921
179,next,gru,uni,256,,256,3,30,0.4398566117896973,0.44364487664733515,0.4398566117896973,0.43930022300251237
